film_name,film_year,film_rate,link,poster
It,2017,3.45,https://letterboxd.com/film/it-2017/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Jojo Rabbit,2019,4.04,https://letterboxd.com/film/jojo-rabbit/,https://a.ltrbxd.com/resized/film-poster/4/4/4/6/0/0/444600-jojo-rabbit-0-70-0-105-crop.jpg?v=a5ad083635
The Fantastic 4: First Steps,2025,3.36,https://letterboxd.com/film/the-fantastic-4-first-steps/,https://a.ltrbxd.com/resized/film-poster/5/4/3/9/6/7/543967-the-fantastic-four-first-steps-0-70-0-105-crop.jpg?v=ab7c919b04
Scream,1996,4.02,https://letterboxd.com/film/scream/,https://a.ltrbxd.com/resized/film-poster/4/9/4/5/5/49455-scream-0-70-0-105-crop.jpg?v=8bb3c66a30
No Country for Old Men,2007,4.31,https://letterboxd.com/film/no-country-for-old-men/,https://a.ltrbxd.com/resized/sm/upload/dr/hr/pz/ez/ehLb2SQ3djlA1FrQKbP2WO3VH09-0-70-0-105-crop.jpg?v=6489920a92
Prisoners,2013,4.32,https://letterboxd.com/film/prisoners/,https://a.ltrbxd.com/resized/sm/upload/iw/eg/4g/nm/3w79tTsv6tmlT8Jww6snyPrgVok-0-70-0-105-crop.jpg?v=778c7ae8b8
Black Panther,2018,3.69,https://letterboxd.com/film/black-panther/,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/3/209383-black-panther-0-70-0-105-crop.jpg?v=d6e7e2c7a4
WALL·E,2008,4.23,https://letterboxd.com/film/walle/,https://a.ltrbxd.com/resized/film-poster/4/5/9/9/4/45994-walle-0-70-0-105-crop.jpg?v=ad27f0ceac
Catch Me If You Can,2002,4.05,https://letterboxd.com/film/catch-me-if-you-can-2002/,https://a.ltrbxd.com/resized/film-poster/5/1/4/8/4/51484-catch-me-if-you-can-0-70-0-105-crop.jpg?v=942d676423
Shrek,2001,4.12,https://letterboxd.com/film/shrek/,https://a.ltrbxd.com/resized/film-poster/5/1/3/4/4/51344-shrek-0-70-0-105-crop.jpg?v=cd09df2c75
Nope,2022,3.67,https://letterboxd.com/film/nope/,https://a.ltrbxd.com/resized/film-poster/6/8/2/5/4/7/682547-nope-0-70-0-105-crop.jpg?v=d6a6158cc3
Deadpool,2016,3.69,https://letterboxd.com/film/deadpool/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Us,2019,3.64,https://letterboxd.com/film/us-2019/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Memento,2000,4.18,https://letterboxd.com/film/memento/,https://a.ltrbxd.com/resized/sm/upload/v1/3q/s4/aa/memento-0-70-0-105-crop.jpg?v=80f0732247
Soul,2020,3.93,https://letterboxd.com/film/soul-2020/,https://a.ltrbxd.com/resized/film-poster/4/3/8/5/1/1/438511-soul-0-70-0-105-crop.jpg?v=8d0b74f9a8
